country,energy_kwh_per_t,labour_cost_eur_per_t,coal,gas,other fossil,nuclear,bioenergy,hydro,solar,wind,other renewables
China,15000,120,0.608,0.031,0.008,0.046,0.021,0.13,0.062,0.094,0.0
Canada,13500,260,0.039,0.148,0.008,0.141,0.016,0.575,0.012,0.061,0.0
Australia,14500,280,0.461,0.171,0.02,0.0,0.01,0.056,0.165,0.117,0.0
Norway,13000,300,0.0,0.01,0.005,0.0,0.002,0.891,0.002,0.09,0.0
United States,13500,260,0.159,0.425,0.008,0.182,0.011,0.056,0.056,0.099,0.004
France,14500,280,0.004,0.058,0.02,0.654,0.019,0.109,0.042,0.093,0.001
Germany,13000,300,0.253,0.156,0.044,0.015,0.092,0.04,0.123,0.277,0.0
India,13500,260,0.751,0.027,0.002,0.025,0.019,0.076,0.058,0.042,0.0
United Arab Emirates,14500,280,0.0,0.721,0.0,0.196,0.0,0.0,0.083,0.0,0.0
South Africa,13000,300,0.815,0.0,0.021,0.038,0.002,0.007,0.067,0.05,0.0
United Kingdom,13500,260,0.012,0.342,0.03,0.143,0.119,0.018,0.048,0.288,0.0
Bahrain,14500,280,0.0,0.998,0.0,0.0,0.0,0.0,0.002,0.0,0.0
Japan,13000,300,0.325,0.342,0.036,0.076,0.041,0.074,0.096,0.01,0.0
South Korea,13500,260,0.332,0.273,0.013,0.292,0.031,0.006,0.048,0.005,0.0
Mexico,14500,280,0.078,0.579,0.094,0.035,0.02,0.057,0.076,0.061,0.0
Kazakhstan,13000,300,0.566,0.286,0.021,0.0,0.0,0.078,0.017,0.032,0.0
Indonesia,15000,120,0.619,0.177,0.019,0.0,0.064,0.07,0.002,0.001,0.048
Saudi Arabia,13500,260,0.0,0.627,0.36,0.0,0.0,0.0,0.01,0.003,0.0
Argentina,14500,280,0.012,0.519,0.067,0.061,0.016,0.204,0.022,0.099,0.0
Iceland,13000,300,0.0,0.0,0.0,0.0,0.0,0.701,0.0,0.0,0.299
Ghana,15000,120,0.0,0.597,0.018,0.0,0.001,0.378,0.006,0.0,0.0
Vietnam,13500,260,0.469,0.095,0.006,0.0,0.003,0.293,0.093,0.041,0.0
Malaysia,14500,280,0.433,0.369,0.006,0.0,0.007,0.168,0.017,0.0,0.0
Mozambique,13000,300,0.0,0.156,0.006,0.0,0.007,0.827,0.004,0.0,0.0
Iran,15000,120,0.002,0.847,0.07,0.017,0.0,0.059,0.002,0.003,0.0
Cameroon,13500,260,0.0,0.235,0.126,0.0,0.005,0.632,0.002,0.0,0.0
Brazil,14500,280,0.02,0.053,0.017,0.02,0.079,0.603,0.073,0.135,0.0
Egypt,13000,300,0.0,0.812,0.075,0.0,0.0,0.063,0.024,0.026,0.0
Qatar,15000,120,0.0,0.998,0.0,0.0,0.002,0.0,0.0,0.0,0.0
Tajikistan,13500,260,0.06,0.014,0.0,0.0,0.0,0.926,0.0,0.0,0.0
Romania,14500,280,0.142,0.161,0.003,0.196,0.008,0.318,0.039,0.133,0.0
Oman,13000,300,0.0,0.933,0.026,0.0,0.0,0.0,0.038,0.003,0.0
Uzbekistan,15000,120,0.075,0.812,0.02,0.0,0.0,0.087,0.006,0.0,0.0
Italy,13500,260,0.051,0.455,0.049,0.0,0.061,0.155,0.117,0.091,0.021
Spain,14500,280,0.013,0.23,0.037,0.203,0.021,0.089,0.174,0.233,0.0
Montenegro,13000,300,0.389,0.0,0.0,0.0,0.0,0.525,0.005,0.081,0.0
Russia,15000,120,0.179,0.45,0.01,0.184,0.001,0.17,0.002,0.004,0.0
Venezuela,13500,260,0.0,0.146,0.07,0.0,0.0,0.784,0.0,0.0,0.0
Thailand,13500,260,0.16,0.679,0.005,0.0,0.074,0.035,0.028,0.019,0.0
Netherlands,14500,280,0.073,0.384,0.036,0.033,0.064,0.001,0.164,0.245,0.0
Slovakia,13000,300,0.041,0.077,0.034,0.62,0.048,0.159,0.021,0.0,0.0
Slovenia,15000,120,0.202,0.032,0.001,0.36,0.019,0.322,0.063,0.001,0.0
Turkey,13500,260,0.369,0.208,0.003,0.0,0.026,0.199,0.058,0.106,0.031
Ukraine,14500,280,0.209,0.078,0.008,0.508,0.01,0.123,0.055,0.009,0.0
Colombia,13000,300,0.125,0.179,0.036,0.0,0.025,0.622,0.012,0.001,0.0
New Zealand,15000,120,0.031,0.077,0.016,0.0,0.015,0.597,0.008,0.08,0.176
